ville,description,texte,mise_a_prix
Bagnolet,Une surface commerciale,"avec : une grande pièce, une arrière-boutique et un patio Formant le lot n°1 cadastré [...]",15 000 €
La Courneuve,Un appartement,"de 83,72 m² (hors terrasse), bâtiment D2, au 1er étage, porte 212, comprenant : couloir, salon, trois [...]",40 000 €
Le Bourget,Un pavillon à usage d'habitation,"de 90,82 m², comprenant : Au sous-sol total : garage, chaufferie, cave à vin Au [...]",97 000 €
Aulnay-sous-Bois,Un appartement,"de 68 m² loi Carrez, bâtiment 13, 2ème étage, au fond à droite, ""132 F"", de quatre pièces principales [...]",33 000 €
Neuilly-sur-Marne,Un appartement,"de 83,12 m² (hors balcon), bâtiment TS, escalier 11, au 4ème étage, comprenant : entrée, séjour, [...]",50 000 €
Pierrefitte-sur-Seine,Une maison d'habitation,"de 71,44 m², comprenant : Au rez-de-chaussée : salon, cuisine, wc Au 1er étage : palier, [...]",30 000 €
Pierrefitte-sur-Seine,Un pavillon,"de 96,71 m², comprenant : Au rez-de-chaussée : entrée/cuisine, salle à manger/séjour, pièce, salle de [...]",60 000 €
Stains,Un appartement,"de 28,11 m², bâtiment 6 B, au 2ème étage, comprenant : entrée, salon et cuisine ouverte, [...]",29 000 €
Les Pavillons-sous-Bois,Une maison d'habitation,"de 80,73 m², avec terrain attenant et garage, comprenant : Au rez-de-chaussée : entrée et [...]",203 000 €
Épinay-sur-Seine,Un appartement,"de 59,03 m² Loi Carrez, bâtiment A, au 2ème étage, porte n°206, comprenant : séjour, deux chambres, [...]",30 000 €
Pantin,Un appartement,"de 40,44 m², au 4ème étage, porte gauche, comprenant : couloir d'entrée, deux chambres, cuisine avec [...]","35 132,74 €"
Le Bourget,Une maison d'habitation,"comprenant : Au rez-de-chaussée : entrée et salon, cuisine, wc À l'étage : deux chambres, [...]",63 000 €
Pierrefitte-sur-Seine,Une maison,"d'une superficie habitable totale de 56,74 m², divisée en trois logements - Un logement situé côté rue [...]",100 000 €
Saint-Denis,Un studio,"bâtiment A, au 1er étage, comprenant : pièce principale, cuisine, salle d'eau avec wc Cadastré section AO [...]",7 000 €
Bondy,Une maison et deux dépendances,"de 124,54 m², surface au sol totale de 169,99 m², divisées en sept logements d'une [...]",98 000 €
Sevran,Un appartement duplex,"de 90,84 m², au rez-de-chaussée et 1er étage, comprenant : Au niveau 1 : entrée, wc, cuisine, [...]",50 000 €
Saint-Denis,Un appartement triplex,"dans le bâtiment A2, cour B, au rez-de-chaussée, 1er et 2ème étage, 1ère porte à gauche dans [...]",130 000 €
Villepinte,Une maison d'habitation,"comprenant : entrée, pièce principale, cuisine, pièce avec kitchenette, deux chambres, salle [...]",100 000 €
Limeil-Brévannes,Un pavillon,"comprenant : Au sous-sol : garage, chambre, buanderie et une chaufferie Au rez-de-chaussée surélevé : [...]",180 000 €
Choisy-le-Roi,Un emplacement de parking,"dans le bâtiment R+10, escalier 6, au 4ème sous-sol Libre de toute occupation",2 000 €
Chennevières-sur-Marne,Un appartement,"de 63,76 m², bâtiment 7, au rez-de-chaussée, comprenant : entrée, dégagement, séjour ouvert sur la [...]",20 000 €
Champigny-sur-Marne,Un appartement,"(superficie Loi Carrez : 59,05 m²) dans le bâtiment A, au rez-de-chaussée surélevé à droite, de trois [...]",76 000 €
Boissy-Saint-Léger,Un appartement,"(superficie Loi Carrez : 38 m²) dans le bâtiment A, 4ème étage à droite de l'ascenseur, porte au fond [...]",43 300 €
Saint-Mandé,Un appartement,"de 38,90 m², bâtiment B, au rez-de-chaussée, comprenant : pièce de vie, chambre, cuisine, salle de [...]",150 000 €
Villeneuve-Saint-Georges,Un appartement,"de 54,54 m², au 5ème étage, comprenant : entrée, deux pièces, cuisine, wc, salle d'eau Une cave, au [...]",60 000 €
Vitry-sur-Seine,Un appartement,"de 47,28 m², bâtiment C, au 1er étage Local à vélos, au sous-sol Emplacement de stationnement, au [...]",58 000 €
Thiais,Un appartement,"de 75,77 m², bâtiment B, au 3ème étage, de quatre pièces Cave Parking, à l'extérieur, n°76",57 000 €
Choisy-le-Roi,Un appartement,"de 34,32 m² Loué",30 000 €
Villejuif,Un appartement,"de 29,35 m², dans une résidence hôtelière, au 6ème étage, de type 1",20 400 €
Villejuif,Un appartement,"de 29,28 m², dans une résidence hôtelière, au 7ème étage, de type 1, avec terrasse de 11,78 m²",20 400 €
Marolles-en-Brie,Un appartement,"de 82,54 m² (hors terrasse), bâtiment A (ascenseur A2), au 2ème étage, porte n°2.046, comprenant : [...]",70 000 €
Nogent-sur-Marne,Un box,"bâtiment A, au 1er sous-sol surélevé, à usage de stationnement automobile Vide","4 361,11 €"
Joinville-le-Pont,Un emplacement de stationnement,"escalier BC, au sous-sol",5 000 €
La Queue-en-Brie,Une maison d'habitation,"comprenant : Au rez-de-chaussée total : entrée, séjour, chambre et salle d'eau, cuisine, [...]",150 000 €
Limeil-Brévannes,Un appartement,"de 66,20 m², bâtiment A, au 1er étage, à droite de l'ascenseur, porte droite, comprenant : entrée, [...]",50 000 €
Ivry-sur-Seine,Un appartement,"de 14,76 m², au 5ème étage, comprenant : séjour, cuisine, salle d'eau avec wc Occupé",20 000 €
Choisy-le-Roi,Un appartement,"de 52,57 m², bâtiment A, au 4ème étage, escalier n°2, comprenant : entrée/pièce, coin-cuisine, [...]",25 000 €
Ivry-sur-Seine,Un appartement,"de 36,45 m², bâtiment A, au 1er étage, porte à droite, comprenant : séjour, chambre, cuisine, salle [...]",30 000 €
Le Plessis-Trévise,Un appartement,"de 58,60 m²; bâtiment B1, escalier B1-12, au 2ème étage, porte gauche, comprenant : entrée, séjour, [...]",25 000 €
Savigny-sur-Orge,Un appartement,"de 82,30 m², au 4ème étage, portant le n°241, comprenant : entrée, séjour double donnant sur balcon, [...]",28 000 €
Sainte-Geneviève-des-Bois,Un appartement,"de 54,96 m², bâtiment C3, au 2ème étage droite, escalier Bloc W, de trois pièces principales, [...]",10 500 €
Ris-Orangis,Un appartement,"de 81,56 m², bâtiment D7, au 2ème étage droite, de type F5 E, comprenant : entrée avec placards, [...]",17 000 €
Grigny,Un appartement,"de 65,88 m², bâtiment C6, au 8ème étage, escalier 15, comprenant : entrée, pièce principale avec [...]",33 510 €
Corbeil-Essonnes,Un appartement,"bâtiment 18, au 5ème étage, comprenant : entrée/couloir, pièce principale avec balcon, cuisine, wc, [...]",96 000 €
Grigny,Un appartement,"de 36,20 m², bâtiment C2, au 7ème étage, comprenant : entrée/couloir, salle d'eau avec wc, pièce [...]",18 650 €
Le Mérévillois,Quatre maisons,"Maison A (103,80 m²) sur sous-sol, rez-de-chaussée et deux étages, de cinq pièces principales Louée [...]",270 000 €
Corbeil-Essonnes,Un appartement,"de 57,76 m² (hors terrasse), n°16, comprenant : entrée avec dégagement mural, salon, deux chambres, [...]",80 000 €
Chilly-Mazarin,Un appartement,"de 74,08 m², comprenant : entrée, séjour double, deux chambres, cuisine, cellier, salle de bains et [...]",30 000 €
Étampes,Un appartement,"de type F3, avec : une cave, un parking et la moitié indivise d'une entrée commune Correspondant aux [...]",40 000 €
Évry-Courcouronnes,Un appartement,"de 90,20 m² (hors terrasse), bâtiment III, cage d'escalier 1, au 2ème étage, 1ère porte à droite, [...]",39 000 €
Chilly-Mazarin,Un appartement,"de 84,28 m² (hors balcon), bâtiment 30, au 1er étage, à droite et au fond, comprenant : couloir [...]",95 000 €
Ollainville - Égly - Bruyères-le-Châtel,Divers biens,"SUR LA COMMUNE D'OLAINVILLE - 2, rue de Trévoix : - Sur la parcelle AL 114 : Bâtiment A, comprenant : [...]",350 000 €
Saint-Michel-sur-Orge,Un appartement,"de 67,07 m² (hors balcon), bâtiment 27, escalier 1, au 2ème étage, comprenant : entrée, séjour, deux [...]",30 000 €
Grigny,Un appartement,"de 80,25 m², bâtiment Y5, au 1er étage, comprenant : entrée, wc, cuisine, pièce principale, trois [...]",30 000 €
Viry-Châtillon,Un pavillon,"de 49,01 m², comprenant : Au rez-de-chaussée : séjour en entrant avec cuisine ouverte, chambre avec [...]",60 000 €
Savigny-sur-Orge,Un appartement,"de 64,11 m², au 13ème étage, en face gauche escalier, comprenant : entrée, salon/double séjour, deux [...]",20 000 €
Athis-Mons,Un appartement,"de 47,31 m², au 2ème étage, de type F2, comprenant : entrée avec placard, salon-séjour, cuisine [...]",50 000 €
Étampes,Un studio,"de 27,18 m², comprenant : pièce principale avec coin-cuisine, chambre, salle d'eau avec wc - Un parking [...]",20 000 €
Juvisy-sur-Orge,Un studio,"de 22,56 m², dans le bâtiment H, au 2ème étage, couloir à gauche en arrivant sur le palier par l'escalier, [...]",15 000 €
Savigny-sur-Orge,Un local commercial,"de 123,10 m², partie arrière, au fond à gauche, bâtiment D, comprenant : deux pièces avec wc - [...]",20 000 €
Brières-les-Scellés,Une propriété,"de 198,27 m², élevée sur sous-sol, d'un rez-de-chaussée et de combles perdus, comprenant : Au niveau 0 [...]",20 000 €
Grigny,Un studio,"de 21,51 m², bâtiment C3, au 1er étage, comprenant : entrée, salle d'eau avec wc, pièce principale avec [...]",10 500 €
Grigny,Un appartement,"de 64,82 m², bâtiment D1, au 13ème étage, comprenant : entrée, salle de bains, pièce principale avec [...]",25 000 €
Grigny,Un appartement,"de 86,85 m², bâtiment L4, au 8ème étage, comprenant : couloir, cuisine, wc, pièce principale avec [...]",44 000 €
Le Merevillois,Un appartement,"d'une surface loi Carrez de 30,79 m², surface au sol de 31,34 m², au rez-de-chaussée à droite dans la [...]",5 000 €
Grigny,Un appartement,"de 56,30 m², bâtiment 10 (anciennement B8), au 6ème étage à gauche en sortant de l'ascenseur, [...]",28 500 €
Évry-Courcouronnes,Un appartement,"de 100,63 m², bâtiment B et à droite de l'escalier en montant, au niveau 0, correspondant au niveau [...]",35 000 €
Évry-Courcouronnes,Une terrasse fermée,"de 18,81 m², bâtiment A, au rez-de-chaussée, complétant la salle du lot n°2 (Lot n°1) - UNE [...]",72 600 €
Sermaise,Une maison d'habitation,"comprenant : Au rez-de-chaussée : entrée avec cave enterrée, salle d'eau, bureau, deux [...]",60 000 €
Vaux-sur-Seine,Une maison d'habitation,"de 74,31 m² habitables, sur sous-sol total, comprenant : Au rez-de-chaussée : entrée sur [...]",49 500 €
Villepreux,Un appartement,"de 59,33 m², bâtiment C/D, au 2ème étage, depuis l'escalier C, porte droite, portant le n°22, de type [...]",43 000 €
Bonnières-sur-Seine,Une maison d'habitation,"de 80,87 m², de trois pièces principales, élevée sur sous-sol, comprenant : - Un garage - [...]",68 000 €
Le Pecq,Un pavillon d'habitation,Classement énergétique : G pour une contenance totale de 8a 69ca Type d'occupation : Occupé,425 000 €
Les Mureaux,Un appartement,"de 27 m², au 6ème étage, de deux pièces, comprenant : séjour, cuisine, chambre et salle de douche [...]",13 000 €
Trappes,Un appartement,"de 63,44 m², de trois pièces principales, comprenant : entrée, dégagement, deux chambres, wc avec [...]",60 000 €
Les Mureaux,Un appartement,"de 41,91 m², escalier A, dans les combles (au 4ème étage), n°404, comprenant : entrée, séjour avec [...]",15 000 €
Louveciennes,Une maison d'habitation,"(119,71 m²), élevée sur terre-plain et deux étages, de sept pièces principales Occupée",100 000 €
Sartrouville,Un appartement,"Résidence Aurélia - 28, promenade Maxime Gorki de 53,82 m², bâtiment A1, coursive 1 à droite, porte [...]",55 000 €
Toussus-le-Noble,Une maison,"de 201,12 m² loi Carrez, comprenant : Au rez-de-chaussée : grand séjour traversant, cuisine ouvrant sur [...]",606 100 €
Conflans-Sainte-Honorine,Un appartement,"de 73,29 m², bâtiment B, au 3ème étage, porte à gauche à la sortie de l'escalier 3, comprenant : [...]",43 000 €
Longvilliers,Une maison d'habitation,avec - jardin Libre d'occupation,120 000 €
Rosny-sur-Seine,Une maison d'habitation,"de 146,33 m² habitables, élevée sur sous-sol, comprenant : Au rez-de-chaussée : entrée, [...]",67 000 €
Mareil-sur-Mauldre,Une maison principale,"de 370,65 m², de six pièces principales, avec : vestiaires, buanderie, combles aménagés et [...]",650 100 €
Élancourt,Un appartement,"de 84,22 m² Loi Carrez, de quatre pièces, comprenant : entrée, dégagement cagibi, circulation nuit, [...]",110 000 €
Rambouillet,Un studio,"de 17,31 m² Loi Carrez et 18,54 m² de surface au sol, dans le bâtiment E, escalier E-F au 1er étage, porte [...]",35 000 €
La Villeneuve-en-Chevrie,Une propriété bâtie et non bâtie,"comprenant : Une petite maison à rénover, composée de deux pièces et d'une salle [...]",35 000 €
La Villeneuve-en-Chevrie,Un important terrain,"de 5.067 m², d'un seul tenant, entièrement clos de murs en parpaings de ciment avec portail [...]",30 000 €
Limay,Un appartement,"de 96,73 m² loi Carrez, bâtiment 28, 4ème étage gauche Et les 151/10.000èmes des parties communes [...]",60 000 €
Trappes,Une maison,"de 73,48 m², comprenant : Au rez-de-chaussée : salon avec coin-cuisine, salle d'eau À l'étage : trois [...]",60 000 €
Élancourt,Un appartement,"de 87,55 m², au 2ème étage, de quatre pièces principales avec loggia, buanderie et une cave Libre",80 000 €
Élancourt,Un emplacement de voiture,,5 000 €
Élancourt,Un emplacement de voiture,,5 000 €
Lainville-en-Vexin,Une maison d'habitation,"de 105,92 m², avec cour, comprenant : Au rez-de-chaussée : un atelier, une première cave [...]",87 000 €
Magny-les-Hameaux,Un parking,"d'une surface de 13 m² environ, au sous-sol, n°M 45 Libre d'occupation au jour du procès-verbal de [...]",2 700 €
Mantes-la-Jolie,Un appartement,"de 64,45 m², bâtiment A, 3ème étage gauche, n°234 Lot n°37 et les 185/10.000èmes des parties communes [...]",85 000 €
Les Mureaux,Un appartement,"de 65,40 m², au rez-de-chaussée, de trois pièces principales (Loué) - Une terrasse - Une place de [...]",74 000 €
Auffargis,Une propriété,À Les Trois Ponts - Route Vindrins comprenant cinq bâtiments édifiés ou en cours de construction : [...],500 000 €
Feucherolles,Une maison à usage d'habitation,"de 202,25 m², élevée sur sous-sol de 122,30 m² accessible depuis la cuisine [...]",280 000 €
Villiers-le-Bel,Un appartement,"d'une superficie privative de 67,23 m², dans le bâtiment unique, escalier C1, au 2ème étage, porte de [...]",42 500 €
Sarcelles,Un appartement,"d'une superficie privative mesurée de 74,22 m² (hors loggias pour 8 m² environ), situé dans le [...]",27 000 €
Champagne-sur-Oise,Un terrain,,70 000 €
Genainville,Une propriété en cours de construction,"d'une surface habitable de 368,03 m² (non achevée) Édifiée sur une parcelle [...]",140 000 €
Eaubonne,Une maison à usage d'habitation,"de 64,77 m², élevée sur sous-sol total, rez-de-chaussée, et combles perdus, [...]",90 000 €
Saint-Prix,Biens et droits immobiliers,"comprenant, au 56, rue d'Ermont : - Un studio pour une surface déclarée au titre de [...]",35 000 €
Garges-lès-Gonesse,Un pavillon,"de 69,74 m², de trois pièces, comprenant : sas d'entrée, séjour, deux chambres, cuisine, salle d'eau [...]",186 000 €
Goussainville,Une maison individuelle à usage d'habitation,"comprenant : Au rez-de-chaussée : entrée, salle de bains avec wc, salle [...]",130 000 €
Montigny-lès-Cormeilles,Un pavillon d'habitation,"d'une surface habitable mesurée de 85,05 m² (surface des annexes : 51,38 m²), comprenant : [...]",67 000 €
